,,,,,,,,,,,,,,,,,,,Params,,,,Model,,,,,
Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,SibSp2,Parch2,Age_N,Log_fare,Male,Embark_S,Embark_C,Pclass_1,Pclass_2,Ones,,Column,Param1,Param2,,Linear1,Linear2,ReLU1,ReLU2,Preds,Loss
0,3,male,22,1,0,7.25,S,1,0,0.275,0.916453949,1,1,0,0,0,1,,SibSp,0.00,0.00,,0.06,0.12,0.06,0.12,0.18,0.03
1,1,female,38,1,0,71.2833,C,1,0,0.475,1.859037971,0,0,1,1,0,1,,Parch,0.03,0.00,,0.28,0.44,0.28,0.44,0.72,0.08
1,3,female,26,0,0,7.925,S,0,0,0.325,0.950608225,0,1,0,0,0,1,,Age_N,0.00,0.00,,0.06,0.12,0.06,0.12,0.19,0.66
1,1,female,35,1,0,53.1,S,1,0,0.4375,1.733197265,0,1,0,1,0,1,,Log_Fare,0.07,0.08,,0.20,0.37,0.20,0.37,0.57,0.18
0,3,male,35,0,0,8.05,S,0,0,0.4375,0.956648579,1,1,0,0,0,1,,Male,0.00,0.00,,0.06,0.13,0.06,0.13,0.19,0.04
0,1,male,54,0,0,51.8625,S,0,0,0.675,1.723147698,1,1,0,1,0,1,,Embark_S,0.00,0.00,,0.20,0.37,0.20,0.37,0.57,0.33
0,3,male,2,3,1,21.075,S,3,1,0.025,1.343900712,1,1,0,0,0,1,,Embark_C,0.07,0.06,,0.12,0.16,0.12,0.16,0.28,0.08
1,3,female,27,0,2,11.1333,S,0,2,0.3375,1.083978936,0,1,0,0,0,1,,Pclass_1,0.09,0.18,,0.14,0.14,0.14,0.14,0.28,0.52
1,2,female,14,1,0,30.0708,C,1,0,0.175,1.492352435,0,0,1,0,1,1,,Pclass_2,0.12,0.09,,0.29,0.32,0.29,0.32,0.62,0.15
1,3,female,4,1,1,16.7,S,1,1,0.05,1.247973266,0,1,0,0,0,1,,Ones,0.00,0.05,,0.12,0.15,0.12,0.15,0.27,0.54
1,1,female,58,0,0,26.55,S,0,0,0.725,1.440121603,0,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.22
0,3,male,20,0,0,8.05,S,0,0,0.25,0.956648579,1,1,0,0,0,1,,,Total Loss,0.20,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,male,39,1,5,31.275,S,1,5,0.4875,1.508866251,1,1,0,0,0,1,,,,,,0.27,0.18,0.27,0.18,0.45,0.20
0,3,female,14,0,0,7.8542,S,0,0,0.175,0.947149328,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,female,55,0,0,16,S,0,0,0.6875,1.230448921,0,1,0,0,1,1,,,,,,0.21,0.24,0.21,0.24,0.44,0.31
0,3,male,2,4,1,29.125,Q,4,1,0.025,1.478927056,1,0,0,0,0,1,,,,,,0.13,0.17,0.13,0.17,0.30,0.09
0,3,female,31,1,0,18,S,1,0,0.3875,1.278753601,0,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
0,2,male,35,0,0,26,S,0,0,0.4375,1.431363764,1,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.22
1,2,male,34,0,0,13,S,0,0,0.425,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
1,3,female,15,0,0,8.0292,Q,0,0,0.1875,0.955649273,0,0,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.66
1,1,male,28,0,0,35.5,S,0,0,0.35,1.562292864,1,1,0,1,0,1,,,,,,0.19,0.36,0.19,0.36,0.55,0.20
0,3,female,8,3,1,21.075,S,3,1,0.1,1.343900712,0,1,0,0,0,1,,,,,,0.12,0.16,0.12,0.16,0.28,0.08
1,3,female,38,1,5,31.3875,S,1,5,0.475,1.510377426,0,1,0,0,0,1,,,,,,0.27,0.19,0.27,0.19,0.45,0.30
0,1,male,19,3,2,263,S,3,2,0.2375,2.421603927,1,1,0,1,0,1,,,,,,0.31,0.43,0.31,0.43,0.75,0.56
0,1,male,40,0,0,27.7208,C,0,0,0.5,1.458196533,1,0,1,1,0,1,,,,,,0.25,0.41,0.25,0.41,0.66,0.44
0,2,male,66,0,0,10.5,S,0,0,0.825,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,1,male,28,1,0,82.1708,C,1,0,0.35,1.919970879,1,0,1,1,0,1,,,,,,0.29,0.45,0.29,0.45,0.73,0.54
0,1,male,42,1,0,52,S,1,0,0.525,1.72427587,1,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.57,0.33
0,3,male,21,0,0,8.05,S,0,0,0.2625,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,female,18,2,0,18,S,2,0,0.225,1.278753601,0,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
1,3,female,14,1,0,11.2417,C,1,0,0.175,1.087841732,0,0,1,0,0,1,,,,,,0.14,0.20,0.14,0.20,0.34,0.43
0,3,female,40,1,0,9.475,S,1,0,0.5,1.020154032,0,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,2,female,27,1,0,21,S,1,0,0.3375,1.342422681,0,1,0,0,1,1,,,,,,0.21,0.25,0.21,0.25,0.46,0.21
1,2,female,3,1,2,41.5792,C,1,2,0.0375,1.629197497,0,0,1,0,1,1,,,,,,0.37,0.34,0.37,0.34,0.71,0.09
1,3,female,19,0,0,7.8792,Q,0,0,0.2375,0.948373838,0,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,female,18,1,0,17.8,S,1,0,0.225,1.274157849,0,1,0,0,0,1,,,,,,0.09,0.15,0.09,0.15,0.24,0.06
0,3,male,7,4,1,39.6875,S,4,1,0.0875,1.609461006,1,1,0,0,0,1,,,,,,0.14,0.18,0.14,0.18,0.32,0.10
0,3,male,21,0,0,7.8,S,0,0,0.2625,0.944482672,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,1,female,49,1,0,76.7292,C,1,0,0.6125,1.890584198,0,0,1,1,0,1,,,,,,0.28,0.45,0.28,0.45,0.73,0.07
1,2,female,29,1,0,26,S,1,0,0.3625,1.431363764,0,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.28
0,1,male,65,0,1,61.9792,C,0,1,0.8125,1.79919714,1,0,1,1,0,1,,,,,,0.31,0.44,0.31,0.44,0.75,0.56
1,2,female,21,0,0,10.5,S,0,0,0.2625,1.06069784,0,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.34
0,3,male,28.5,0,0,7.2292,C,0,0,0.35625,0.915357617,1,0,1,0,0,1,,,,,,0.13,0.18,0.13,0.18,0.32,0.10
1,2,female,5,1,2,27.75,S,1,2,0.0625,1.458637849,0,1,0,0,1,1,,,,,,0.29,0.26,0.29,0.26,0.55,0.20
0,3,male,11,5,2,46.9,S,5,2,0.1375,1.680335513,1,1,0,0,0,1,,,,,,0.18,0.19,0.18,0.19,0.37,0.14
0,3,male,22,0,0,7.2292,C,0,0,0.275,0.915357617,1,0,1,0,0,1,,,,,,0.13,0.18,0.13,0.18,0.32,0.10
0,1,male,45,1,0,83.475,S,1,0,0.5625,1.9267282,1,1,0,1,0,1,,,,,,0.22,0.39,0.22,0.39,0.60,0.36
0,3,male,4,3,2,27.9,S,3,2,0.05,1.460897843,1,1,0,0,0,1,,,,,,0.16,0.17,0.16,0.17,0.34,0.11
1,2,female,29,0,0,10.5,S,0,0,0.3625,1.06069784,0,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.34
0,3,male,19,0,0,8.1583,S,0,0,0.2375,0.961814866,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
1,3,female,17,4,2,7.925,S,4,2,0.2125,0.950608225,0,1,0,0,0,1,,,,,,0.13,0.13,0.13,0.13,0.26,0.55
0,3,male,26,2,0,8.6625,S,2,0,0.325,0.985089507,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
0,2,male,32,0,0,10.5,S,0,0,0.4,1.06069784,1,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.18
0,3,female,16,5,2,46.9,S,5,2,0.2,1.680335513,0,1,0,0,0,1,,,,,,0.18,0.19,0.18,0.19,0.37,0.14
0,2,male,21,0,0,73.5,S,0,0,0.2625,1.872156273,1,1,0,0,1,1,,,,,,0.25,0.29,0.25,0.29,0.54,0.29
0,3,male,26,1,0,14.4542,C,1,0,0.325,1.189046528,1,0,1,0,0,1,,,,,,0.15,0.21,0.15,0.21,0.36,0.13
1,3,male,32,0,0,56.4958,S,0,0,0.4,1.759636121,1,1,0,0,0,1,,,,,,0.12,0.19,0.12,0.19,0.31,0.48
0,3,male,25,0,0,7.65,S,0,0,0.3125,0.937016107,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.03
1,2,male,0.83,0,2,29,S,0,2,0.010375,1.477121255,1,1,0,0,1,1,,,,,,0.29,0.26,0.29,0.26,0.55,0.20
1,3,female,30,0,0,12.475,S,0,0,0.375,1.129528774,0,1,0,0,0,1,,,,,,0.08,0.14,0.08,0.14,0.22,0.62
0,3,male,22,0,0,9,S,0,0,0.275,1,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
1,3,male,29,0,0,9.5,S,0,0,0.3625,1.021189299,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.64
0,1,male,28,0,0,47.1,S,0,0,0.35,1.682145076,1,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.57,0.32
1,2,female,17,0,0,10.5,S,0,0,0.2125,1.06069784,0,1,0,0,1,1,,,,,,0.20,0.22,0.20,0.22,0.42,0.34
1,3,female,33,3,0,15.85,S,3,0,0.4125,1.226599905,0,1,0,0,0,1,,,,,,0.08,0.15,0.08,0.15,0.23,0.59
0,3,male,16,1,3,34.375,S,1,3,0.2,1.548696449,1,1,0,0,0,1,,,,,,0.20,0.18,0.20,0.18,0.38,0.15
1,1,female,23,3,2,263,S,3,2,0.2875,2.421603927,0,1,0,1,0,1,,,,,,0.31,0.43,0.31,0.43,0.75,0.06
0,3,male,24,0,0,8.05,S,0,0,0.3,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,male,29,0,0,8.05,S,0,0,0.3625,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,male,20,0,0,7.8542,S,0,0,0.25,0.947149328,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,1,male,46,1,0,61.175,S,1,0,0.575,1.793615794,1,1,0,1,0,1,,,,,,0.21,0.38,0.21,0.38,0.58,0.34
0,3,male,26,1,2,20.575,S,1,2,0.325,1.333950804,1,1,0,0,0,1,,,,,,0.15,0.16,0.15,0.16,0.32,0.10
0,3,male,59,0,0,7.25,S,0,0,0.7375,0.916453949,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,1,male,71,0,0,34.6542,C,0,0,0.8875,1.552110696,1,0,1,1,0,1,,,,,,0.26,0.42,0.26,0.42,0.68,0.46
1,1,male,23,0,1,63.3583,C,0,1,0.2875,1.808604564,1,0,1,1,0,1,,,,,,0.31,0.44,0.31,0.44,0.75,0.06
1,2,female,34,0,1,23,S,0,1,0.425,1.380211242,0,1,0,0,1,1,,,,,,0.25,0.25,0.25,0.25,0.50,0.25
0,2,male,34,1,0,26,S,1,0,0.425,1.431363764,1,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.22
0,3,female,28,0,0,7.8958,S,0,0,0.35,0.94918501,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,1,male,21,0,1,77.2875,S,0,1,0.2625,1.893692425,1,1,0,1,0,1,,,,,,0.25,0.39,0.25,0.39,0.63,0.40
0,3,male,33,0,0,8.6542,S,0,0,0.4125,0.984716292,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
0,3,male,37,2,0,7.925,S,2,0,0.4625,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,male,28,0,0,7.8958,S,0,0,0.35,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,3,female,21,0,0,7.65,S,0,0,0.2625,0.937016107,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,male,38,0,0,7.8958,S,0,0,0.475,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,1,male,47,0,0,52,S,0,0,0.5875,1.72427587,1,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.57,0.33
0,3,female,14.5,1,0,14.4542,C,1,0,0.18125,1.189046528,0,0,1,0,0,1,,,,,,0.15,0.21,0.15,0.21,0.36,0.13
0,3,male,22,0,0,8.05,S,0,0,0.275,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,female,20,1,0,9.825,S,1,0,0.25,1.034427905,0,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,3,female,17,0,0,14.4583,C,0,0,0.2125,1.189161731,0,0,1,0,0,1,,,,,,0.15,0.21,0.15,0.21,0.36,0.13
0,3,male,21,0,0,7.925,S,0,0,0.2625,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,male,70.5,0,0,7.75,Q,0,0,0.88125,0.942008053,1,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.03
0,2,male,29,1,0,21,S,1,0,0.3625,1.342422681,1,1,0,0,1,1,,,,,,0.21,0.25,0.21,0.25,0.46,0.21
0,1,male,24,0,1,247.5208,C,0,1,0.3,2.395362743,1,0,1,1,0,1,,,,,,0.35,0.49,0.35,0.49,0.84,0.71
0,3,female,2,4,2,31.275,S,4,2,0.025,1.508866251,0,1,0,0,0,1,,,,,,0.17,0.18,0.17,0.18,0.34,0.12
0,2,male,21,2,0,73.5,S,2,0,0.2625,1.872156273,1,1,0,0,1,1,,,,,,0.25,0.29,0.25,0.29,0.54,0.29
0,2,male,32.5,1,0,30.0708,C,1,0,0.40625,1.492352435,1,0,1,0,1,1,,,,,,0.29,0.32,0.29,0.32,0.62,0.38
1,2,female,32.5,0,0,13,S,0,0,0.40625,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
0,1,male,54,0,1,77.2875,S,0,1,0.675,1.893692425,1,1,0,1,0,1,,,,,,0.25,0.39,0.25,0.39,0.63,0.40
1,3,male,12,1,0,11.2417,C,1,0,0.15,1.087841732,1,0,1,0,0,1,,,,,,0.14,0.20,0.14,0.20,0.34,0.43
1,3,male,24,0,0,7.1417,S,0,0,0.3,0.910715096,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.67
0,3,male,45,0,0,6.975,S,0,0,0.5625,0.901730692,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,male,33,0,0,7.8958,C,0,0,0.4125,0.94918501,1,0,1,0,0,1,,,,,,0.13,0.19,0.13,0.19,0.32,0.10
0,3,male,20,0,0,7.05,S,0,0,0.25,0.90579588,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,female,47,1,0,14.5,S,1,0,0.5875,1.190331698,0,1,0,0,0,1,,,,,,0.08,0.14,0.08,0.14,0.22,0.05
1,2,female,29,1,0,26,S,1,0,0.3625,1.431363764,0,1,0,0,1,1,,,,,,0.22,0.25,0.22,0.25,0.47,0.28
0,2,male,25,0,0,13,S,0,0,0.3125,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,2,male,23,0,0,15.0458,C,0,0,0.2875,1.205361375,1,0,1,0,1,1,,,,,,0.27,0.30,0.27,0.30,0.57,0.33
1,1,female,19,0,2,26.2833,S,0,2,0.2375,1.435896898,0,1,0,1,0,1,,,,,,0.25,0.35,0.25,0.35,0.60,0.16
0,1,male,37,1,0,53.1,S,1,0,0.4625,1.733197265,1,1,0,1,0,1,,,,,,0.20,0.37,0.20,0.37,0.57,0.33
0,3,male,16,0,0,9.2167,S,0,0,0.2,1.009310641,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,1,male,24,0,0,79.2,C,0,0,0.3,1.904174368,1,0,1,1,0,1,,,,,,0.28,0.45,0.28,0.45,0.73,0.53
1,3,female,22,0,0,7.75,S,0,0,0.275,0.942008053,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,3,female,24,1,0,15.85,S,1,0,0.3,1.226599905,0,1,0,0,0,1,,,,,,0.08,0.15,0.08,0.15,0.23,0.59
0,3,male,19,0,0,6.75,Q,0,0,0.2375,0.889301703,1,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,2,male,18,0,0,11.5,S,0,0,0.225,1.096910013,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.42,0.18
0,2,male,19,1,1,36.75,S,1,1,0.2375,1.576916956,1,1,0,0,1,1,,,,,,0.26,0.27,0.26,0.27,0.53,0.28
1,3,male,27,0,0,7.7958,S,0,0,0.3375,0.944275346,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,female,9,2,2,34.375,S,2,2,0.1125,1.548696449,0,1,0,0,0,1,,,,,,0.17,0.18,0.17,0.18,0.35,0.12
0,2,male,36.5,0,2,26,S,0,2,0.45625,1.431363764,1,1,0,0,1,1,,,,,,0.29,0.26,0.29,0.26,0.55,0.30
0,2,male,42,0,0,13,S,0,0,0.525,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,2,male,51,0,0,12.525,S,0,0,0.6375,1.131137274,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.18
1,1,female,22,1,0,66.6,S,1,0,0.275,1.829946696,0,1,0,1,0,1,,,,,,0.21,0.38,0.21,0.38,0.59,0.17
0,3,male,55.5,0,0,8.05,S,0,0,0.69375,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,male,40.5,0,2,14.5,S,0,2,0.50625,1.190331698,1,1,0,0,0,1,,,,,,0.15,0.15,0.15,0.15,0.30,0.09
0,1,male,51,0,1,61.3792,C,0,1,0.6375,1.795039801,1,0,1,1,0,1,,,,,,0.31,0.44,0.31,0.44,0.75,0.56
1,3,female,16,0,0,7.7333,Q,0,0,0.2,0.941178379,0,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,3,male,30,0,0,8.05,S,0,0,0.375,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.04
0,3,male,44,0,1,16.1,S,0,1,0.55,1.23299611,1,1,0,0,0,1,,,,,,0.12,0.15,0.12,0.15,0.27,0.07
1,2,female,40,0,0,15.75,S,0,0,0.5,1.224014811,0,1,0,0,1,1,,,,,,0.21,0.24,0.21,0.24,0.44,0.31
0,3,male,26,0,0,7.775,S,0,0,0.325,0.943247125,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,3,male,17,0,0,8.6625,S,0,0,0.2125,0.985089507,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.19,0.04
0,3,male,1,4,1,39.6875,S,4,1,0.0125,1.609461006,1,1,0,0,0,1,,,,,,0.14,0.18,0.14,0.18,0.32,0.10
1,3,male,9,0,2,20.525,S,0,2,0.1125,1.33294316,1,1,0,0,0,1,,,,,,0.15,0.16,0.15,0.16,0.32,0.47
0,3,female,45,1,4,27.9,S,1,4,0.5625,1.460897843,0,1,0,0,0,1,,,,,,0.23,0.18,0.23,0.18,0.41,0.17
0,3,male,28,0,0,56.4958,S,0,0,0.35,1.759636121,1,1,0,0,0,1,,,,,,0.12,0.19,0.12,0.19,0.31,0.10
0,1,male,61,0,0,33.5,S,0,0,0.7625,1.537819095,1,1,0,1,0,1,,,,,,0.19,0.35,0.19,0.35,0.54,0.30
0,3,male,4,4,1,29.125,Q,4,1,0.05,1.478927056,1,0,0,0,0,1,,,,,,0.13,0.17,0.13,0.17,0.30,0.09
1,3,female,1,1,1,11.1333,S,1,1,0.0125,1.083978936,0,1,0,0,0,1,,,,,,0.11,0.14,0.11,0.14,0.24,0.57
0,3,male,21,0,0,7.925,S,0,0,0.2625,0.950608225,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
0,1,male,56,0,0,30.6958,C,0,0,0.7,1.501001718,1,0,1,1,0,1,,,,,,0.26,0.41,0.26,0.41,0.67,0.45
0,3,male,18,1,1,7.8542,S,1,1,0.225,0.947149328,1,1,0,0,0,1,,,,,,0.10,0.13,0.10,0.13,0.22,0.05
0,1,female,50,0,0,28.7125,C,0,0,0.625,1.472939195,0,0,1,1,0,1,,,,,,0.26,0.41,0.26,0.41,0.67,0.44
0,2,male,30,0,0,13,S,0,0,0.375,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,3,male,36,0,0,0,S,0,0,0.45,0,1,1,0,0,0,1,,,,,,0.00,0.05,0.00,0.05,0.05,0.00
0,3,male,9,4,2,31.3875,S,4,2,0.1125,1.510377426,1,1,0,0,0,1,,,,,,0.17,0.18,0.17,0.18,0.34,0.12
1,2,male,1,2,1,39,S,2,1,0.0125,1.602059991,1,1,0,0,1,1,,,,,,0.26,0.27,0.26,0.27,0.54,0.22
1,3,female,4,0,2,22.025,S,0,2,0.05,1.362199639,0,1,0,0,0,1,,,,,,0.16,0.16,0.16,0.16,0.32,0.46
1,1,male,45,0,0,26.55,S,0,0,0.5625,1.440121603,1,1,0,1,0,1,,,,,,0.18,0.35,0.18,0.35,0.53,0.22
0,3,male,40,1,1,15.5,Q,1,1,0.5,1.217483944,1,0,0,0,0,1,,,,,,0.11,0.15,0.11,0.15,0.26,0.07
0,3,male,36,0,0,7.8958,S,0,0,0.45,0.94918501,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.04
1,2,female,32,0,0,13,S,0,0,0.4,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.32
0,2,male,19,0,0,13,S,0,0,0.2375,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
1,3,female,19,1,0,7.8542,S,1,0,0.2375,0.947149328,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,2,male,3,1,1,26,S,1,1,0.0375,1.431363764,1,1,0,0,1,1,,,,,,0.25,0.26,0.25,0.26,0.51,0.24
1,1,female,44,0,0,27.7208,C,0,0,0.55,1.458196533,0,0,1,1,0,1,,,,,,0.25,0.41,0.25,0.41,0.66,0.11
1,1,female,58,0,0,146.5208,C,0,0,0.725,2.168853259,0,0,1,1,0,1,,,,,,0.30,0.47,0.30,0.47,0.77,0.05
0,3,male,42,0,1,8.4042,S,0,1,0.525,0.973321857,1,1,0,0,0,1,,,,,,0.10,0.13,0.10,0.13,0.23,0.05
0,2,female,24,0,0,13,S,0,0,0.3,1.146128036,0,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
0,3,male,28,0,0,9.5,S,0,0,0.35,1.021189299,1,1,0,0,0,1,,,,,,0.07,0.13,0.07,0.13,0.20,0.04
0,3,male,34,0,0,6.4958,S,0,0,0.425,0.87481799,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,3,male,45.5,0,0,7.225,C,0,0,0.56875,0.915135907,1,0,1,0,0,1,,,,,,0.13,0.18,0.13,0.18,0.32,0.10
1,3,male,18,0,0,8.05,S,0,0,0.225,0.956648579,1,1,0,0,0,1,,,,,,0.06,0.13,0.06,0.13,0.19,0.66
0,3,female,2,0,1,10.4625,S,0,1,0.025,1.059279349,0,1,0,0,0,1,,,,,,0.10,0.14,0.10,0.14,0.24,0.06
0,3,male,32,1,0,15.85,S,1,0,0.4,1.226599905,1,1,0,0,0,1,,,,,,0.08,0.15,0.08,0.15,0.23,0.05
1,3,male,26,0,0,18.7875,C,0,0,0.325,1.296390928,1,0,1,0,0,1,,,,,,0.16,0.22,0.16,0.22,0.37,0.39
1,3,female,16,0,0,7.75,Q,0,0,0.2,0.942008053,0,0,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
1,1,male,40,0,0,31,C,0,0,0.5,1.505149978,1,0,1,1,0,1,,,,,,0.26,0.41,0.26,0.41,0.67,0.11
0,3,male,24,0,0,7.05,S,0,0,0.3,0.90579588,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
1,2,female,35,0,0,21,S,0,0,0.4375,1.342422681,0,1,0,0,1,1,,,,,,0.21,0.25,0.21,0.25,0.46,0.29
0,3,male,22,0,0,7.25,S,0,0,0.275,0.916453949,1,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.18,0.03
0,2,male,30,0,0,13,S,0,0,0.375,1.146128036,1,1,0,0,1,1,,,,,,0.20,0.23,0.20,0.23,0.43,0.19
1,1,female,31,1,0,113.275,C,1,0,0.3875,2.05795123,0,0,1,1,0,1,,,,,,0.29,0.46,0.29,0.46,0.75,0.06
1,3,female,27,0,0,7.925,S,0,0,0.3375,0.950608225,0,1,0,0,0,1,,,,,,0.06,0.12,0.06,0.12,0.19,0.66
0,2,male,42,1,0,27,S,1,0,0.525,1.447158031,1,1,0,0,1,1,,,,,,0.22,0.26,0.22,0.26,0.48,0.23
